Mass change comparison (total),2007.0 - 2009.0,,,
Date,Basin/Region,Model mass change (Gt),IMBIE mass change (Gt),Residual (Gt)
2007.0,CE,0.00,--,--
2007.0,CW,0.00,--,--
2007.0,NE,0.00,--,--
2007.0,NO,0.00,--,--
2007.0,NW,0.00,--,--
2007.0,SE,0.00,--,--
2007.0,SW,0.00,--,--
2007.0,Masked_Total,0.00,0.00,0.00
2007.0,Unmasked_Total,0.00,0.00,0.00
2007.0833,CE,-1.91,--,--
2007.0833,CW,-2.45,--,--
2007.0833,NE,0.44,--,--
2007.0833,NO,-0.40,--,--
2007.0833,NW,-3.69,--,--
2007.0833,SE,-6.00,--,--
2007.0833,SW,-2.41,--,--
2007.0833,Masked_Total,-16.42,-19.57,-3.15
2007.0833,Unmasked_Total,-17.40,-19.57,-2.17
2007.1667,CE,-3.83,--,--
2007.1667,CW,-4.91,--,--
2007.1667,NE,0.88,--,--
2007.1667,NO,-0.79,--,--
2007.1667,NW,-7.39,--,--
2007.1667,SE,-12.00,--,--
2007.1667,SW,-4.82,--,--
2007.1667,Masked_Total,-32.86,-39.46,-6.60
2007.1667,Unmasked_Total,-34.82,-39.46,-4.64
2007.25,CE,-5.75,--,--
2007.25,CW,-7.36,--,--
2007.25,NE,1.32,--,--
2007.25,NO,-1.19,--,--
2007.25,NW,-11.09,--,--
2007.25,SE,-17.99,--,--
2007.25,SW,-7.23,--,--
2007.25,Masked_Total,-49.28,-59.75,-10.47
2007.25,Unmasked_Total,-52.22,-59.75,-7.54
2007.3333,CE,-7.66,--,--
2007.3333,CW,-9.81,--,--
2007.3333,NE,1.76,--,--
2007.3333,NO,-1.58,--,--
2007.3333,NW,-14.78,--,--
2007.3333,SE,-23.99,--,--
2007.3333,SW,-9.63,--,--
2007.3333,Masked_Total,-65.70,-80.36,-14.66
2007.3333,Unmasked_Total,-69.62,-80.36,-10.74
2007.4167,CE,-9.58,--,--
2007.4167,CW,-12.27,--,--
2007.4167,NE,2.20,--,--
2007.4167,NO,-1.98,--,--
2007.4167,NW,-18.48,--,--
2007.4167,SE,-29.99,--,--
2007.4167,SW,-12.04,--,--
2007.4167,Masked_Total,-82.15,-101.17,-19.03
2007.4167,Unmasked_Total,-87.04,-101.17,-14.13
2007.5,CE,-11.49,--,--
2007.5,CW,-14.72,--,--
2007.5,NE,2.64,--,--
2007.5,NO,-2.38,--,--
2007.5,NW,-22.18,--,--
2007.5,SE,-35.99,--,--
2007.5,SW,-14.45,--,--
2007.5,Masked_Total,-98.57,-121.99,-23.42
2007.5,Unmasked_Total,-104.44,-121.99,-17.55
2007.5833,CE,-13.41,--,--
2007.5833,CW,-17.17,--,--
2007.5833,NE,3.08,--,--
2007.5833,NO,-2.77,--,--
2007.5833,NW,-25.87,--,--
2007.5833,SE,-41.98,--,--
2007.5833,SW,-16.86,--,--
2007.5833,Masked_Total,-114.99,-142.67,-27.68
2007.5833,Unmasked_Total,-121.84,-142.67,-20.83
2007.6667,CE,-15.32,--,--
2007.6667,CW,-19.63,--,--
2007.6667,NE,3.51,--,--
2007.6667,NO,-3.17,--,--
2007.6667,NW,-29.57,--,--
2007.6667,SE,-47.98,--,--
2007.6667,SW,-19.27,--,--
2007.6667,Masked_Total,-131.43,-163.25,-31.82
2007.6667,Unmasked_Total,-139.26,-163.25,-23.99
2007.75,CE,-17.24,--,--
2007.75,CW,-22.08,--,--
2007.75,NE,3.95,--,--
2007.75,NO,-3.56,--,--
2007.75,NW,-33.26,--,--
2007.75,SE,-53.98,--,--
2007.75,SW,-21.68,--,--
2007.75,Masked_Total,-147.85,-183.68,-35.83
2007.75,Unmasked_Total,-156.65,-183.68,-27.02
2007.8333,CE,-19.15,--,--
2007.8333,CW,-24.53,--,--
2007.8333,NE,4.39,--,--
2007.8333,NO,-3.96,--,--
2007.8333,NW,-36.96,--,--
